PDB	Experimental Method	Resolution	Uniprot	Coverage	Length	Coverage (%)	Reviewed
2VLQ	X-ray diffraction	1.6	P13479	86	86.0	100.0	reviewed
2VLQ	X-ray diffraction	1.6	P09883	133	582.0	22.852233676975946	reviewed
2GOX	X-ray diffraction	2.2	P01024	292	1663.0	17.558628983764283	reviewed
2GOX	X-ray diffraction	2.2	P68799	65	165.0	39.39393939393939	reviewed
3D5S	X-ray diffraction	2.3	P01024	292	1663.0	17.558628983764283	reviewed
3D5S	X-ray diffraction	2.3	A6QG59	65	165.0	39.39393939393939	reviewed
1EFN	X-ray diffraction	2.5	P06241	59	537.0	10.986964618249534	reviewed
1EFN	X-ray diffraction	2.5	P03406	152	206.0	73.7864077669903	reviewed
1UUZ	X-ray diffraction	1.8	Q9HXB1	129	153.0	84.31372549019608	reviewed
1UUZ	X-ray diffraction	1.8	P00698	129	147.0	87.75510204081633	reviewed
2J0T	X-ray diffraction	2.54	P03956	169	469.0	36.034115138592746	reviewed
2J0T	X-ray diffraction	2.54	P01033	126	207.0	60.86956521739131	reviewed
2OOB	X-ray diffraction	1.9	Q13191	50	982.0	5.091649694501019	reviewed
2OOB	X-ray diffraction	1.9	P0CH28	76	690.0	11.014492753623188	reviewed
2PCB	X-ray diffraction	2.8	P00431	294	361.0	81.4404432132964	reviewed
2PCB	X-ray diffraction	2.8	P00004	104	105.0	99.04761904761905	reviewed
2PCC	X-ray diffraction	2.3	P00431	294	361.0	81.4404432132964	reviewed
2PCC	X-ray diffraction	2.3	P00044	108	109.0	99.08256880733946	reviewed
2B12	X-ray diffraction	3.02	P00431	294	361.0	81.4404432132964	reviewed
2B12	X-ray diffraction	3.02	P00044	108	109.0	99.08256880733946	reviewed
2B11	X-ray diffraction	2.3	P00431	294	361.0	81.4404432132964	reviewed
2B11	X-ray diffraction	2.3	P00044	108	109.0	99.08256880733946	reviewed
2B10	X-ray diffraction	2.8	P00431	294	361.0	81.4404432132964	reviewed
2B10	X-ray diffraction	2.8	P00044	108	109.0	99.08256880733946	reviewed
2B0Z	X-ray diffraction	2.7	P00431	294	361.0	81.4404432132964	reviewed
2B0Z	X-ray diffraction	2.7	P00044	108	109.0	99.08256880733946	reviewed
2HLE	X-ray diffraction	2.05	P54760	180	987.0	18.237082066869302	reviewed
2HLE	X-ray diffraction	2.05	P52799	138	333.0	41.44144144144144	reviewed
1AK4	X-ray diffraction	2.36	P62937	165	165.0	100.0	reviewed
1AK4	X-ray diffraction	2.36	P12497	145	1435.0	10.104529616724738	reviewed
1SIB	X-ray diffraction	2.4	P00782	275	382.0	71.98952879581152	reviewed
1SIB	X-ray diffraction	2.4	P01051	70	70.0	100.0	reviewed
1CSE	X-ray diffraction	1.2	P00780	274	379.0	72.29551451187335	reviewed
1CSE	X-ray diffraction	1.2	P01051	70	70.0	100.0	reviewed
2NU2	X-ray diffraction	1.65	P00777	185	299.0	61.87290969899666	reviewed
2NU2	X-ray diffraction	1.65	P68390	51	185.0	27.56756756756757	reviewed
