	CC_ID	SRVs	PDB_arches	Uniprot_arches	Tot_nodes	Nodes
10	10	69	22	7	28	3B4V_C,3HH2_C,3B4V_A,3BK3_C,2B0U_D,2B0U_C,1KTZ_B,1REW_A,1REW_C,3BK3_A,1KTZ_A,3HH2_A,3B4V_D,3B4V_G,3BK3_D,2B0U_A,2B0U_B,1REW_D,3B4V_H,3BK3_B,3B4V_B,3SEK_B,3B4V_F,3HH2_D,1REW_B,3SEK_C,3B4V_E,3HH2_B
11	11	2	3	0	3	1U7F_A,1U7F_C,1U7F_B
12	12	8	7	2	8	1WQJ_B,2DSQ_G,2DSQ_B,1WQJ_I,2DSQ_H,2DSQ_A,2DSQ_I,2DSQ_C
13	13	16	17	42	19	2B12_B,2B10_C,2PCB_A,2PCB_B,2B12_A,2B11_D,2PCC_D,2PCC_B,2B11_A,2PCB_C,2B0Z_A,2B11_C,2PCC_A,2B11_B,2PCC_C,2B0Z_B,2B10_A,2B10_D,2B10_B
14	14	8	4	2	6	3R9A_C,3R9A_A,2C0L_A,3R9A_B,2C0L_B,3R9A_D
15	15	6	7	3	8	4RA0_A,4RA0_C,2C5D_C,2C5D_B,2C5D_A,4RA0_D,2C5D_D,4RA0_B
16	16	4	10	3	12	3D5R_D,2GOX_D,3D5S_D,2GOX_C,3D5R_B,3D5R_C,3D5R_A,3D5S_B,2GOX_B,3D5S_A,3D5S_C,2GOX_A
17	17	8	3	0	4	4L0P_B,2HLE_A,2HLE_B,4L0P_A
18	18	16	6	0	6	2J0T_D,2J0T_B,2J0T_E,2J0T_F,2J0T_C,2J0T_A
19	19	5	2	0	2	2KSO_B,2KSO_A
20	20	2	5	0	4	3BP8_A,3BP8_B,3BP8_C,3BP8_D
21	21	7	3	0	4	3BX1_B,3BX1_A,3BX1_C,3BX1_D
22	22	22	19	0	22	3LNZ_F,3LNZ_L,3EQY_D,3LNZ_H,3LNZ_I,3LNZ_K,3LNZ_G,3LNZ_C,3EQS_A,3LNZ_O,3LNZ_D,3EQY_C,3EQS_B,3LNZ_N,3LNZ_A,3LNZ_B,3LNZ_P,3LNZ_J,3LNZ_E,3EQY_A,3EQY_B,3LNZ_M
23	23	11	7	3	10	5CYK_A,3NVN_A,5CYK_B,3NVQ_A,3NVN_B,3NVQ_B,3NVQ_E,5CXB_B,3NVQ_F,5CXB_A
24	24	11	3	0	4	3Q8D_B,3Q8D_A,3Q8D_E,3Q8D_F
25	25	1	4	0	4	3RF3_C,3RF3_A,3RF3_D,3RF3_B
26	26	9	12	3	10	3SF4_A,4G2V_B,3SF4_E,4WND_B,4G2V_A,3SF4_D,3SF4_F,3SF4_C,3SF4_B,4WND_A
27	27	21	5	0	6	3SZK_B,3SZK_E,3SZK_F,3SZK_A,3SZK_C,3SZK_D
28	28	2	4	2	6	3U82_B,4MYW_D,3U82_A,4MYW_B,4MYW_A,4MYW_C
29	29	6	6	3	8	3UIG_A,3UII_P,3UII_B,3UIG_P,3UII_Q,3UIG_B,3UII_A,3UIG_Q
30	30	22	10	0	8	4OFY_B,4OFY_C,4BFI_A,4OFY_D,4BFI_B,4OFY_F,4OFY_A,4OFY_E
31	31	8	3	0	4	4CPA_A,4CPA_I,4CPA_B,4CPA_J
32	32	8	6	0	4	4CVW_A,4CVW_B,4CVW_D,4CVW_C
33	33	3	9	0	9	4E6K_D,4E6K_A,4E6K_H,4E6K_F,4E6K_I,4E6K_B,4E6K_C,4E6K_G,4E6K_E
34	34	4	8	2	7	4GNK_B,4EKD_B,4GNK_E,4GNK_A,4EKD_A,4GNK_C,4GNK_D
35	35	11	5	3	7	4NZW_A,4O27_C,4O27_A,4FZA_A,4FZA_B,4O27_B,4NZW_B
36	36	8	6	0	4	4HFK_A,4HFK_B,4HFK_D,4HFK_C
37	37	4	5	0	6	4HSA_E,4HSA_D,4HSA_A,4HSA_C,4HSA_B,4HSA_F
38	38	5	8	0	4	4J2L_B,4J2L_C,4J2L_D,4J2L_A
39	39	1	3	0	4	4LRX_C,4LRX_B,4LRX_A,4LRX_D
40	40	25	12	0	6	4PWX_D,4PWX_B,4PWX_C,4PWX_F,4PWX_A,4PWX_E
41	41	17	4	3	8	4YFD_A,4YFD_B,4Y61_A,4YEB_B,4YH7_B,4YEB_A,4YH7_A,4Y61_B
42	42	19	2	0	4	5M2O_A,5M2O_B,5K39_A,5K39_B
43	43	6	8	0	8	3VR6_E,3VR6_A,3VR6_H,3VR6_B,3VR6_F,3VR6_D,3VR6_C,3VR6_G
44	44	7	1	0	2	2O3B_A,2O3B_B
45	45	4	1	0	2	2BTF_A,2BTF_P
46	46	6	1	0	2	4JEU_A,4JEU_B
47	47	13	2	0	2	5F4E_B,5F4E_A
48	48	3	4	0	4	1N8O_E,1N8O_C,1N8O_B,1N8O_A
49	49	1	2	0	2	1YCS_B,1YCS_A
50	50	5	1	0	2	2DVW_A,2DVW_B
51	51	10	2	0	2	2SIC_I,2SIC_E
52	52	3	1	0	2	2B42_A,2B42_B
53	53	3	2	0	2	1KBH_B,1KBH_A
54	54	7	1	0	2	5E6P_A,5E6P_B
55	55	13	2	0	2	1KNE_P,1KNE_A
56	56	3	1	0	2	3WWN_A,3WWN_B
57	57	3	1	0	2	2HRK_A,2HRK_B
58	58	12	2	0	2	1F47_B,1F47_A
59	59	240	3	0	3	3BT1_A,3BT1_U,3BT1_B
